sinhala,english,transliteration,pos,example_si,example_en
ඉතින් සිදු වූ දෙය ජීවිතය මා පසුපසට තල්ලු කළේය,so what happened life knocked me back,ithin sidu wu deya jeewithaya ma pasupasata thallu kaleya,,,
ජීවිතය මට නැවත තට්ටු කළා මම මේ ලෝකෙට ආවේ මගේ පස්ස උඩ,life knocked me back i came into this world flat on my ass,jeewithaya mata newatha thattu kala mama me loketa awe mage passa uda,,,
"දැන් ඔබට සියල්ල නැත, සියල්ල නැත",and now you have everything no not everything,den obata siyalla netha siyalla netha,,,
නෑ උඩ පහලට හැමදෙයක්ම නෙමේ ඔය ඇස් දෙකෙන් දේවල් දකින එක එකයි,no not everything up down down up it s the same you see things through both eyes,ne uda pahalata hemadeyakma neme oya es deken dewal dakina eka ekayi,,,
මම හිතන්නේ මම ටිකක් විතරයි ඔයා අදහස් කරන්නේ,i guess i am just a little what do you mean,mama hithanne mama tikak witharayi oya adahas karanne,,,
මගේ මුදල් චලනය වන විට මම එය සමඟ යමි,when my money moves i go with it i trust mr johnson filled you in on the revisions,mage mudal chalanaya wana wita mama eya samanga yami,,,
හතර විසි අට මොකක්ද කියලා හතරක් බෙදුවා,four twenty eight what s that divided four ways,hathara wisi ata mokakda kiyala hatharak beduwa,,,
අපට සිදු වුවහොත් අපට ගනුදෙනුව අහිමි විය හැකිය,we could lose the deal if we have to,apata sidu wuwahoth apata ganudenuwa ahimi wiya hekiya,,,
ෂේන් ​​ඔයාගේ යාළුවෙක් එයා ළඟ හිටියා,shane was a friend of yours he was around,shen yaluwek eya langa hitiya,,,
අවජාතකයා ඔහු හින්දි වචනයක් බව පෙන්නුවේවත් නැත,bastard didn t even show he s hidin word s out tommy reina s goin over ta maranzano,awajathakaya ohu hindi wachanayak bawa netha,,,
පිස්සු බලු කෝල් s ටවුන් එකේ ජොබ් එකක රස්තියාදු කරගත්ත,mad dog coll s in town on a job who hired the bastard,pissu balu kol tawun eke job ekaka rasthiyadu karagaththa,,,
මැරන්සානෝ ටා අයිස් යූව කුලියට ගත්තේ කවුද?,who hired the bastard maranzano ta ice you,ta ayis kuliyata gaththe kawuda,,,
කොස්ටෙලෝ මහතා අපගේ ව්යාපාර කටයුතු කරන්නේ රාජ්ය ආයතන සමඟ ය,mr costello handles our business with the government agencies that s it,mahatha apage wyapara katayuthu karanne rajya ayathana samanga ya,,,
ඇතුළත ඔවුන් ඔබ ගැන කතා කළා මට හිතාගන්න පුළුවන්,inside they were talking of you i can just imagine,ethulatha owun oba gena katha kala mata hithaganna puluwan,,,
මට හිතාගන්න පුළුවන් ඔවුන් ඔබට ඊර්ෂ්යා කරන්නේ නැහැ කියලා,i can just imagine no they envy you,mata hithaganna puluwan owun obata eershya karanne nehe kiyala,,,
මිනිසෙකු වීම සඳහා කොල්ලකරුවෙකු වීම සඳහා,for being a bootlegger for being a man,miniseku weema sandaha kollakaruweku weema sandaha,,,
ඔයා බොබී එක්ක මෙතන මම ඔයා එක්ක ඉන්නවා,you here with bobby no i m here with you,oya bobee ekka methana mama oya ekka innawa,,,
මම යා යුතු කාරණය කුමක්ද?,what s the matter i must be going,mama ya yuthu karanaya kumakda,,,
එන්න නත්තල අඩුම තරමේ උදේ කෑමටවත් ඉන්න මම දැනටමත් පරක්කුයි,come on it s christmas at least stay for breakfast i m already late,enna naththala aduma tharame ude kematawath inna mama denatamath parakkuyi,,,
මම දැනටමත් කුමක් සඳහා ප්රමාදයි,i m already late for what,mama denatamath kumak sandaha,,,
luciano මම ඊයේ කතා කළා,luciano i was calling yesterday,mama eeye katha kala,,,
මම ඊයේ කතා කරද්දි මොකක් හරි දෙයක් ආවා,i was calling yesterday something came up,mama eeye katha karaddi mokak hari deyak awa,,,
මට ඔයාව ආයෙත් බලන්න ඕන දෙයක් ආවා,something came up i needed to see you again,mata oyawa ayeth balanna ona deyak awa,,,
මට ඔයාව ආයෙත් මෙතනදි දකින්න ඕන උනා,i needed to see you again same here,mata oyawa ayeth methanadi dakinna ona una,,,
මෙහිදී ඔබට විශ්වාසයි,same here you re sure,mehidee obata wishwasayi,,,
එය ඔබට සැඟවීමට යමක් ඇති වෙස් මුහුණකි,it s a mask you got something to hide,eya obata sengaweemata yamak ethi wes muhunaki,,,
ඔබට සැඟවීමට යමක් තිබේ එය ප්රමාද වැඩියි,you got something to hide it s too late,obata sengaweemata yamak thibe eya pramada wediyi,,,
ඔබ මේ ගැන සිතුවා නම් ප්රමාද වැඩියි,it s too late have you thought about this,oba me gena sithuwa nam pramada wediyi,,,
ඔයා හිතුවද මේ අහිංසක ඇයි ඔයා කියලා,have you thought about this why you re the innocent one,oya hithuwada me ahinsaka eyi oya kiyala,,,
ඇයි ඔයා අහිංසකයෙක් කියලා මට හිතන්න බැරි තරම් අවුල්,why you re the innocent one guess i m too confused to think,eyi oya ahinsakayek kiyala mata hithanna beri tharam awul,,,
එය ඔබට වේදනාකාරී වේවිද?,would it be painful for you it always is,eya obata wedanakaree wewida,,,
චාලි මම මෙතන බිස්නස් කරනවා,charlie i m doin business here,chali mama methana bisnas karanawa,,,
මම මෙතන බිස්නස් කරනවා ඒත් එතන,i m doin business here but there s,mama methana bisnas karanawa eth ethana,,,
meyer පසුගිය මාස හය තුළ පොත් මිලියනයක් අවසන් කළා,meyer just finished the books a million bucks in the last six months,pasugiya masa haya thula poth miliyanayak awasan kala,,,
මම කසාද බඳින්නේ ඇනා එක්ක නෙවෙයි,it s nothin i m gettin married married to anna you ain t got her in trouble,mama kasada bandinne ena ekka neweyi,,,
"ඇනා සමඟ විවාහ වූ ඔබ ඇයව කරදරයට පත් කළේ නැත, අපි පවා නැත",married to anna you ain t got her in trouble no we ain t even,ena samanga wiwaha wu oba eyawa karadarayata path kale netha api pawa netha,,,
ඔබේ මධුසමය මේයර් ද කාලය ප්රයෝජනයට ගත හැකිය,your honeymoon meyer might as well put the time to use,obe madhusamaya meyar da kalaya prayojanayata gatha hekiya,,,
"එය මා නොවේ, මම කනස්සල්ලට පත්ව සිටිමි, මම හොඳින් කරන්නෙමි",it s not myself i m worried about i ll do fine,eya ma nowe mama kanassallata pathwa sitimi mama hondin karannemi,,,
ඔයාට 10 cc ලැබෙනවා si ඔයාට විස්සක් කිව්වා,you re getting 10 cc si told you twenty,oyata lebenawa oyata wissak kiwwa,,,
අවජාතකයෝ මම කිව්වා විස්සයි විනාඩි කිහිපයක් යයි කියලා,you bastards i said twenty it ll just be a few minutes,awajathakayo mama kiwwa wissayi winadi kihipayak yayi kiyala,,,
මට විස්ස අවශ්ය වන්නේ විනාඩි කිහිපයක් පමණි,it ll just be a few minutes i need the twenty,mata wissa awashya wanne winadi kihipayak pamani,,,
ඔව් ඉතින් කව්ද මගුල් එන්නේ කියලා අපිට කියන්න,yeah so who the fuck does come on tell us shitface,ow ithin kawda magul enne kiyala apita kiyanna,,,
බග් දුරු කරන්න,come off it bugs come off it bugs,bag duru karanna,,,
බග්ස් බෙන් ජමින්,come off it bugs ben jamin,ben,,,
මම ඒකට කැමතියි ලොක්කා කියන දේට,i like that whatta ya mean boss,mama ekata kemathiyi lokka kiyana deta,,,
whatta ya mean boss ya piss මිනිසෙක් වගේ,whatta ya mean boss ya piss like a man,minisek wage,,,
ටොමී මට කියනවා කපෝන් චිකාගෝ ඉඳන් එනවා එයා ඒක හදන්න හදනවා කියලා,tommy tells me that capone s coming in from chicago he s trying to make it,tomee mata kiyanawa chikago indan enawa eya eka hadanna hadanawa kiyala,,,
එයා ඒක හදන්න හදනවා එයා හිතයි මොකක් හරි වැරැද්දක් මම එතන නෑ කියලා,he s trying to make it he ll think something s wrong i ain t there,eya eka hadanna hadanawa eya hithayi mokak hari wereddak mama ethana ne kiyala,,,
ලොක්කාගෙන් ඈත් වී සිටීමට තරම් ඔබ දක්ෂ බව ඔහු දැන ගනු ඇත,he ll know you were smart enough to stay away boss what the fuck does that mean,lokkagen eth wee siteemata tharam oba daksha bawa ohu dena ganu etha,,,
